,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,article,auxverb,conj,adverb,ppron,ipron,preps,quant
14.Pink,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.27,-0.14,-0.02,0.07,-0.08,-0.18,-0.2,-0.18
15.Orange,0.0,0.0,0.17391304347826086,0.0,0.08695652173913043,0.02608695652173913,0.0,0.0,0.008695652173913044,0.06956521739130435,0.25217391304347825,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.19130434782608696,0.12173913043478261,0.0,0.0,-0.05,-0.07,-0.0,-0.02,-0.13,-0.01,-0.04,-0.07
15.Purple,0.0,0.0,0.16279069767441862,0.0,0.11627906976744186,0.009302325581395349,0.0,0.0,0.0,0.07906976744186046,0.2930232558139535,0.009302325581395349,0.19069767441860466,0.0,0.0,0.013953488372093023,0.0,0.22790697674418606,0.08837209302325581,0.004651162790697674,0.0,-0.02,-0.04,-0.17,-0.07,-0.04,-0.05,-0.01,0.04
15.Yellow,0.0,0.0,0.20869565217391303,0.0,0.10434782608695652,0.06086956521739131,0.0,0.0,0.0,0.043478260869565216,0.22608695652173913,0.0,0.22608695652173913,0.0,0.0,0.008695652173913044,0.0,0.21739130434782608,0.13043478260869565,0.0,0.0,-0.17,-0.17,-0.04,-0.03,-0.21,-0.08,-0.18,-0.02
15.Blue,0.0,0.0,0.18888888888888888,0.0,0.044444444444444446,0.05,0.0,0.005555555555555556,0.022222222222222223,0.15555555555555556,0.1388888888888889,0.0,0.2,0.0,0.0,0.022222222222222223,0.005555555555555556,0.22777777777777777,0.19444444444444445,0.005555555555555556,0.005555555555555556,-0.12,-0.04,-0.04,0.09,-0.02,-0.09,-0.01,-0.01
16.Yellow,0.0,0.0,0.11224489795918367,0.0,0.030612244897959183,0.01020408163265306,0.0,0.01020408163265306,0.0,0.08163265306122448,0.16326530612244897,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.16326530612244897,0.09183673469387756,0.0,0.0,-0.04,-0.12,-0.1,0.08,-0.04,-0.11,-0.11,-0.03
16.Blue,0.0,0.0,0.25,0.0,0.1346153846153846,0.038461538461538464,0.0,0.0,0.0,0.1346153846153846,0.23076923076923078,0.019230769230769232,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.17307692307692307,0.11538461538461539,0.0,0.0,-0.05,-0.07,-0.12,0.08,-0.09,0.08,0.05,0.0
16.Pink,0.0,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.0
17.Orange,0.0,0.0,0.23622047244094488,0.0,0.11811023622047244,0.007874015748031496,0.0,0.0,0.0,0.10236220472440945,0.2125984251968504,0.0,0.08661417322834646,0.0,0.0,0.031496062992125984,0.0,0.25196850393700787,0.13385826771653545,0.0,0.0,-0.11,-0.1,-0.0,-0.1,-0.07,-0.01,0.0,-0.03
17.Blue,0.0,0.0,0.16666666666666666,0.0,0.08771929824561403,0.07017543859649122,0.0,0.0,0.0,0.07017543859649122,0.23684210526315788,0.0,0.17543859649122806,0.008771929824561403,0.0,0.0,0.008771929824561403,0.3684210526315789,0.09649122807017543,0.03508771929824561,0.0,-0.13,0.02,-0.16,-0.18,-0.07,-0.04,-0.08,-0.03
