,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,article,auxverb,conj,adverb,ppron,ipron,preps,quant
6.Blue,0.0,0.0,0.08695652173913043,0.0,0.06521739130434782,0.043478260869565216,0.0,0.0,0.0,0.03260869565217391,0.18478260869565216,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.2608695652173913,0.08695652173913043,0.0,0.0,-0.08,0.07,-0.05,0.06,0.06,-0.02,-0.05,0.0
6.Pink,0.0,0.0,0.1111111111111111,0.0,0.05925925925925926,0.037037037037037035,0.0,0.0,0.0,0.08888888888888889,0.14814814814814814,0.0,0.08148148148148149,0.0,0.0,0.007407407407407408,0.0,0.15555555555555556,0.08888888888888889,0.0,0.0,-0.04,-0.03,-0.13,-0.04,-0.1,0.02,-0.15,0.1
6.Green,0.0,0.0,0.10071942446043165,0.0,0.07194244604316546,0.007194244604316547,0.0,0.0,0.014388489208633094,0.1366906474820144,0.16546762589928057,0.0,0.09352517985611511,0.0,0.0,0.014388489208633094,0.007194244604316547,0.22302158273381295,0.07913669064748201,0.0,0.0,-0.08,0.01,0.02,-0.08,0.09,0.04,-0.0,-0.02
6.Orange,0.0,0.0,0.05405405405405406,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.0,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.0,0.10810810810810811,0.0,0.0,0.01,0.15,0.13,0.05,0.22,0.11,0.19,-0.02
7.Orange,0.0,0.0,0.23404255319148937,0.0,0.0851063829787234,0.05319148936170213,0.0,0.0,0.0,0.010638297872340425,0.32978723404255317,0.0,0.06382978723404255,0.0,0.0,0.010638297872340425,0.0,0.24468085106382978,0.05319148936170213,0.0,0.0,0.04,-0.02,0.08,0.14,0.13,0.08,0.06,-0.11
7.Green,0.0,0.0,0.1595744680851064,0.0,0.1276595744680851,0.015957446808510637,0.0,0.0,0.0,0.026595744680851064,0.32978723404255317,0.0,0.13297872340425532,0.0,0.0,0.010638297872340425,0.0,0.22872340425531915,0.0797872340425532,0.005319148936170213,0.0,0.01,-0.0,0.03,-0.08,0.04,-0.05,-0.01,0.1
7.Blue,0.0,0.0,0.20481927710843373,0.0,0.08433734939759036,0.024096385542168676,0.0,0.0,0.0,0.024096385542168676,0.39759036144578314,0.0,0.12048192771084337,0.0,0.0,0.0,0.0,0.26506024096385544,0.12048192771084337,0.012048192771084338,0.0,-0.02,0.16,-0.06,-0.02,0.08,-0.0,0.04,0.1
8.Blue,0.0,0.0,0.09302325581395349,0.0,0.046511627906976744,0.011627906976744186,0.0,0.0,0.011627906976744186,0.03488372093023256,0.2558139534883721,0.0,0.11627906976744186,0.0,0.0,0.03488372093023256,0.0,0.18604651162790697,0.09302325581395349,0.0,0.0,0.12,-0.15,-0.15,-0.04,-0.08,0.07,-0.05,-0.04
8.Green,0.0,0.0,0.08270676691729323,0.0,0.045112781954887216,0.022556390977443608,0.0,0.0,0.0,0.13533834586466165,0.3082706766917293,0.007518796992481203,0.09774436090225563,0.0,0.0,0.0,0.007518796992481203,0.20300751879699247,0.07518796992481203,0.0,0.0,0.1,0.18,0.06,0.14,0.15,0.04,0.1,-0.06
8.Orange,0.0,0.0,0.12121212121212122,0.0,0.07878787878787878,0.04242424242424243,0.0,0.0,0.0,0.09696969696969697,0.21212121212121213,0.0,0.10909090909090909,0.0,0.0,0.01818181818181818,0.0,0.1393939393939394,0.048484848484848485,0.0,0.0,0.11,0.03,-0.12,0.08,0.02,0.02,0.03,-0.06
9.Green,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.008695652173913044,0.043478260869565216,0.2608695652173913,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.10434782608695652,0.08695652173913043,0.008695652173913044,0.0,0.02,-0.02,0.01,0.01,-0.04,0.13,0.21,-0.03
9.Blue,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765957446808511,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.06382978723404255,0.06382978723404255,0.0,0.0,-0.11,0.04,-0.03,0.13,0.02,-0.07,-0.08,-0.03
9.Pink,0.0,0.0,0.05825242718446602,0.0,0.02912621359223301,0.009708737864077669,0.0,0.0,0.0,0.05825242718446602,0.2912621359223301,0.019417475728155338,0.07766990291262135,0.0,0.0,0.0,0.0,0.13592233009708737,0.038834951456310676,0.0,0.0,-0.02,-0.01,0.09,0.03,0.02,0.04,-0.08,-0.02
1.2,0.0,0.0,0.3163265306122449,0.0,0.23469387755102042,0.05102040816326531,0.0,0.0,0.0,0.22448979591836735,0.35714285714285715,0.1836734693877551,0.10204081632653061,0.0,0.0,0.02040816326530612,0.3673469387755102,0.37755102040816324,0.14285714285714285,0.0,0.0,0.06,-0.06,-0.02,-0.08,-0.02,-0.1,-0.04,-0.0
1.1,0.0,0.0,0.24285714285714285,0.0,0.17142857142857143,0.02857142857142857,0.0,0.0,0.0,0.12857142857142856,0.2714285714285714,0.24285714285714285,0.11428571428571428,0.014285714285714285,0.0,0.02857142857142857,0.2,0.38571428571428573,0.04285714285714286,0.014285714285714285,0.0,0.05,0.04,0.13,0.03,0.01,0.18,0.01,0.04
1.3,0.0,0.0,0.2833333333333333,0.0,0.2,0.05,0.0,0.0,0.0,0.06666666666666667,0.2,0.15,0.1,0.0,0.0,0.05,0.2,0.3333333333333333,0.06666666666666667,0.0,0.0,0.05,0.07,0.05,0.23,0.06,0.03,0.09,-0.02
1.4,0.0,0.0,0.2,0.0,0.12727272727272726,0.0,0.0,0.0,0.0,0.07272727272727272,0.16363636363636364,0.16363636363636364,0.07272727272727272,0.0,0.0,0.01818181818181818,0.10909090909090909,0.32727272727272727,0.05454545454545454,0.0,0.0,-0.04,-0.06,-0.1,-0.03,-0.07,-0.05,-0.08,-0.07
2.1,0.0,0.0,0.22641509433962265,0.0,0.19811320754716982,0.0,0.009433962264150943,0.0,0.0,0.1792452830188679,0.1792452830188679,0.22641509433962265,0.18867924528301888,0.03773584905660377,0.0,0.05660377358490566,0.2169811320754717,0.36792452830188677,0.08490566037735849,0.0,0.0,0.06,-0.01,-0.01,-0.06,-0.03,0.04,0.09,-0.05
2.4,0.0,0.0,0.23404255319148937,0.0,0.19148936170212766,0.06382978723404255,0.010638297872340425,0.0,0.0,0.0425531914893617,0.22340425531914893,0.3617021276595745,0.1276595744680851,0.0,0.0,0.06382978723404255,0.06382978723404255,0.24468085106382978,0.06382978723404255,0.010638297872340425,0.0,0.05,0.03,0.02,0.06,-0.0,0.12,0.02,-0.04
2.3,0.0,0.0,0.2,0.0,0.1,0.1,0.0125,0.0,0.0,0.0625,0.1875,0.2,0.25,0.0125,0.0,0.0375,0.2125,0.2,0.05,0.025,0.0,0.14,0.05,0.12,-0.07,-0.04,0.01,0.01,0.1
2.2,0.0,0.0,0.24742268041237114,0.0,0.1958762886597938,0.05154639175257732,0.0,0.0,0.0,0.14432989690721648,0.21649484536082475,0.2268041237113402,0.20618556701030927,0.030927835051546393,0.0,0.030927835051546393,0.20618556701030927,0.31958762886597936,0.05154639175257732,0.010309278350515464,0.0,-0.07,-0.03,-0.1,-0.11,-0.01,0.05,-0.08,-0.07
3.1,0.0,0.0,0.2,0.0,0.17647058823529413,0.047058823529411764,0.0,0.0,0.0,0.15294117647058825,0.25882352941176473,0.21176470588235294,0.1411764705882353,0.011764705882352941,0.0,0.03529411764705882,0.15294117647058825,0.25882352941176473,0.058823529411764705,0.0,0.0,-0.12,-0.11,0.06,0.1,0.08,0.14,-0.11,-0.04
3.4,0.0,0.0,0.18947368421052632,0.0,0.05263157894736842,0.021052631578947368,0.0,0.0,0.0,0.17894736842105263,0.12631578947368421,0.1368421052631579,0.042105263157894736,0.0,0.0,0.010526315789473684,0.30526315789473685,0.17894736842105263,0.010526315789473684,0.0,0.0,-0.07,-0.1,0.01,0.01,0.1,-0.01,-0.08,-0.03
3.2,0.0,0.0,0.14285714285714285,0.0,0.1292517006802721,0.013605442176870748,0.006802721088435374,0.0,0.0,0.14285714285714285,0.1360544217687075,0.1292517006802721,0.06802721088435375,0.006802721088435374,0.0,0.04081632653061224,0.3877551020408163,0.14965986394557823,0.013605442176870748,0.0,0.0,-0.04,-0.03,-0.05,-0.06,-0.06,0.03,-0.06,-0.02
3.3,0.0,0.0,0.14705882352941177,0.0,0.1323529411764706,0.04411764705882353,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.22058823529411764,0.17647058823529413,0.014705882352941176,0.0,0.07352941176470588,0.058823529411764705,0.22058823529411764,0.04411764705882353,0.0,0.0,-0.08,-0.16,-0.01,0.02,-0.11,-0.15,-0.18,0.05
4.1,0.0,0.0,0.32954545454545453,0.0,0.1590909090909091,0.022727272727272728,0.0,0.0,0.0,0.25,0.10227272727272728,0.1590909090909091,0.0,0.0,0.0,0.056818181818181816,0.22727272727272727,0.19318181818181818,0.022727272727272728,0.0,0.0,-0.22,-0.1,-0.18,-0.08,-0.03,0.03,-0.28,0.03
4.3,0.0,0.0,0.09210526315789473,0.0,0.07894736842105263,0.046052631578947366,0.0,0.0,0.006578947368421052,0.23684210526315788,0.20394736842105263,0.19736842105263158,0.039473684210526314,0.006578947368421052,0.0,0.02631578947368421,0.2631578947368421,0.17763157894736842,0.05263157894736842,0.0,0.0,-0.08,0.04,-0.01,0.1,0.01,-0.01,-0.02,0.02
4.2,0.0,0.0,0.23636363636363636,0.0,0.10909090909090909,0.01818181818181818,0.0,0.0,0.0,0.10909090909090909,0.10909090909090909,0.2727272727272727,0.07272727272727272,0.01818181818181818,0.0,0.0,0.09090909090909091,0.23636363636363636,0.12727272727272726,0.0,0.0,0.07,0.08,0.03,0.03,-0.03,-0.08,0.11,0.0
4.4,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.15555555555555556,0.3111111111111111,0.08888888888888889,0.0,0.0,0.06666666666666667,0.06666666666666667,0.2,0.044444444444444446,0.0,0.0,0.04,0.2,0.07,0.26,0.01,0.17,0.04,0.0
5.2,0.0,0.0,0.16417910447761194,0.0,0.14925373134328357,0.029850746268656716,0.0,0.0,0.0,0.07462686567164178,0.23880597014925373,0.22388059701492538,0.029850746268656716,0.0,0.0,0.0,0.19402985074626866,0.19402985074626866,0.04477611940298507,0.0,0.0,0.08,0.05,0.02,0.0,0.25,0.08,0.14,0.0
5.3,0.0,0.0,0.2073170731707317,0.0,0.07317073170731707,0.012195121951219513,0.0,0.0,0.006097560975609756,0.15853658536585366,0.2682926829268293,0.18902439024390244,0.09146341463414634,0.024390243902439025,0.0,0.036585365853658534,0.17682926829268292,0.2621951219512195,0.09146341463414634,0.006097560975609756,0.0,0.07,0.14,0.08,0.07,0.01,0.11,0.03,0.03
5.1,0.0,0.0,0.10606060606060606,0.0,0.07575757575757576,0.0,0.0,0.0,0.0,0.18181818181818182,0.030303030303030304,0.15151515151515152,0.10606060606060606,0.07575757575757576,0.0,0.045454545454545456,0.015151515151515152,0.18181818181818182,0.09090909090909091,0.015151515151515152,0.0,0.04,0.01,0.03,-0.05,0.13,-0.01,0.23,0.1
5.4,0.0,0.0,0.11864406779661017,0.0,0.06779661016949153,0.0,0.0,0.0,0.0,0.05084745762711865,0.1016949152542373,0.11864406779661017,0.0847457627118644,0.0,0.0,0.11864406779661017,0.15254237288135594,0.0847457627118644,0.1016949152542373,0.01694915254237288,0.0,0.11,-0.0,0.09,-0.01,-0.05,0.13,-0.09,0.09
6.1,0.0,0.0,0.11764705882352941,0.0,0.01680672268907563,0.008403361344537815,0.025210084033613446,0.0,0.008403361344537815,0.14285714285714285,0.15966386554621848,0.11764705882352941,0.16806722689075632,0.01680672268907563,0.0,0.01680672268907563,0.11764705882352941,0.40336134453781514,0.15966386554621848,0.008403361344537815,0.0,0.13,-0.07,-0.06,-0.02,-0.22,0.08,0.02,0.0
6.2,0.0,0.0,0.20987654320987653,0.0,0.08641975308641975,0.024691358024691357,0.0,0.0,0.0,0.20987654320987653,0.04938271604938271,0.20987654320987653,0.037037037037037035,0.024691358024691357,0.0,0.0,0.12345679012345678,0.2962962962962963,0.07407407407407407,0.0,0.0,-0.01,0.03,0.1,0.05,0.04,-0.06,0.04,-0.05
6.3,0.0,0.0,0.12087912087912088,0.0,0.06593406593406594,0.06593406593406594,0.0,0.0,0.0,0.25274725274725274,0.0989010989010989,0.2087912087912088,0.0989010989010989,0.02197802197802198,0.0,0.03296703296703297,0.1978021978021978,0.2087912087912088,0.14285714285714285,0.0,0.0,-0.03,-0.11,0.03,-0.03,0.16,-0.15,0.06,0.01
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0
6.5,0.0,0.0,0.13513513513513514,0.0,0.10810810810810811,0.02702702702702703,0.0,0.0,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.16216216216216217,0.08108108108108109,0.0,0.0,0.05405405405405406,0.05405405405405406,0.32432432432432434,0.10810810810810811,0.02702702702702703,0.0,-0.09,-0.06,0.04,0.12,-0.16,-0.03,-0.08,-0.02
7.1,0.0,0.0,0.2064516129032258,0.0,0.14193548387096774,0.03870967741935484,0.0,0.0,0.0,0.09032258064516129,0.10967741935483871,0.07096774193548387,0.05161290322580645,0.0064516129032258064,0.0,0.025806451612903226,0.1935483870967742,0.16129032258064516,0.04516129032258064,0.0,0.0,-0.04,-0.06,-0.15,-0.01,-0.01,0.05,-0.1,-0.02
7.2,0.0,0.0,0.18888888888888888,0.0,0.17777777777777778,0.05555555555555555,0.03333333333333333,0.0,0.011111111111111112,0.16666666666666666,0.23333333333333334,0.2,0.06666666666666667,0.0,0.0,0.011111111111111112,0.07777777777777778,0.4,0.1111111111111111,0.0,0.0,0.07,0.04,0.14,-0.03,0.04,0.13,0.05,-0.02
7.3,0.0,0.0,0.1326530612244898,0.0,0.07142857142857142,0.01020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.14285714285714285,0.09183673469387756,0.10204081632653061,0.04081632653061224,0.02040816326530612,0.0,0.030612244897959183,0.10204081632653061,0.21428571428571427,0.01020408163265306,0.0,0.0,0.12,-0.06,-0.24,-0.1,-0.05,0.02,0.01,-0.04
8.5,0.0,0.0,0.11304347826086956,0.0,0.10434782608695652,0.02608695652173913,0.0,0.0,0.0,0.09565217391304348,0.06086956521739131,0.11304347826086956,0.13043478260869565,0.043478260869565216,0.0,0.02608695652173913,0.12173913043478261,0.21739130434782608,0.08695652173913043,0.008695652173913044,0.0,-0.08,0.03,-0.07,-0.02,-0.06,0.05,-0.07,0.05
8.1,0.0,0.0,0.037037037037037035,0.0,0.02962962962962963,0.022222222222222223,0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,0.08888888888888889,0.05925925925925926,0.014814814814814815,0.0,0.007407407407407408,0.08148148148148149,0.2222222222222222,0.06666666666666667,0.0,0.0,0.06,0.13,-0.02,-0.02,0.04,0.05,-0.01,-0.03
8.2,0.0,0.0,0.13392857142857142,0.0,0.13392857142857142,0.008928571428571428,0.0,0.0,0.0,0.08928571428571429,0.125,0.11607142857142858,0.0625,0.008928571428571428,0.0,0.026785714285714284,0.16071428571428573,0.21428571428571427,0.0625,0.008928571428571428,0.008928571428571428,-0.07,0.01,-0.05,-0.09,0.02,0.02,-0.06,-0.03
8.4,0.0,0.0,0.1523809523809524,0.0,0.12380952380952381,0.05714285714285714,0.0,0.0,0.0,0.19047619047619047,0.10476190476190476,0.14285714285714285,0.11428571428571428,0.01904761904761905,0.0,0.01904761904761905,0.09523809523809523,0.3333333333333333,0.11428571428571428,0.0,0.0,0.07,0.09,0.13,0.13,0.04,0.06,0.02,0.09
8.3,0.0,0.0,0.171875,0.0,0.125,0.0078125,0.0,0.0,0.0078125,0.125,0.078125,0.1171875,0.1796875,0.015625,0.0,0.046875,0.1484375,0.203125,0.0546875,0.0078125,0.0,-0.0,-0.01,0.02,0.02,0.01,0.11,-0.13,0.0
9.2,0.0,0.0,0.1411764705882353,0.0,0.07058823529411765,0.08235294117647059,0.011764705882352941,0.0,0.011764705882352941,0.16470588235294117,0.08235294117647059,0.10588235294117647,0.16470588235294117,0.03529411764705882,0.0,0.0,0.16470588235294117,0.2823529411764706,0.1411764705882353,0.0,0.011764705882352941,0.06,0.09,0.08,-0.07,0.19,0.08,0.04,-0.06
9.1,0.0,0.0,0.09876543209876543,0.0,0.04938271604938271,0.0,0.0,0.0,0.012345679012345678,0.14814814814814814,0.024691358024691357,0.024691358024691357,0.1728395061728395,0.04938271604938271,0.012345679012345678,0.024691358024691357,0.20987654320987653,0.13580246913580246,0.06172839506172839,0.0,0.012345679012345678,-0.07,-0.08,-0.03,-0.03,-0.01,-0.15,-0.11,-0.08
9.3,0.0,0.0,0.3448275862068966,0.0,0.2482758620689655,0.04827586206896552,0.0,0.0,0.0,0.07586206896551724,0.18620689655172415,0.1724137931034483,0.2413793103448276,0.034482758620689655,0.0,0.041379310344827586,0.16551724137931034,0.36551724137931035,0.13793103448275862,0.0,0.006896551724137931,-0.05,-0.02,0.04,-0.06,-0.05,-0.04,-0.08,0.03
10.3,0.0,0.0,0.12903225806451613,0.0,0.08064516129032258,0.016129032258064516,0.0,0.0,0.0,0.16129032258064516,0.0967741935483871,0.08064516129032258,0.06451612903225806,0.0,0.0,0.06451612903225806,0.2903225806451613,0.1935483870967742,0.0967741935483871,0.0,0.0,-0.11,0.11,-0.04,0.0,0.04,-0.1,0.0,0.0
10.1,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.1282051282051282,0.11538461538461539,0.0641025641025641,0.1282051282051282,0.02564102564102564,0.0,0.1282051282051282,0.15384615384615385,0.14102564102564102,0.07692307692307693,0.0,0.0,0.07,0.04,-0.17,-0.14,0.05,-0.01,-0.12,-0.01
10.4,0.0,0.0,0.15151515151515152,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.19696969696969696,0.07575757575757576,0.06060606060606061,0.10606060606060606,0.0,0.0,0.07575757575757576,0.22727272727272727,0.16666666666666666,0.06060606060606061,0.0,0.0,0.02,0.02,0.16,-0.01,0.05,0.08,-0.04,-0.02
10.2,0.0,0.0,0.25675675675675674,0.0,0.12162162162162163,0.04054054054054054,0.013513513513513514,0.0,0.0,0.17567567567567569,0.20270270270270271,0.13513513513513514,0.17567567567567569,0.013513513513513514,0.0,0.02702702702702703,0.20270270270270271,0.33783783783783783,0.16216216216216217,0.0,0.0,-0.04,0.05,-0.09,-0.02,0.04,0.11,-0.07,0.0
11.1,0.0,0.0,0.18571428571428572,0.0,0.12857142857142856,0.02857142857142857,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.12857142857142856,0.08571428571428572,0.014285714285714285,0.0,0.04285714285714286,0.12857142857142856,0.32857142857142857,0.1,0.0,0.0,0.04,0.07,-0.06,0.22,0.12,0.17,0.23,0.0
11.3,0.0,0.0,0.15384615384615385,0.0,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,0.21153846153846154,0.1346153846153846,0.11538461538461539,0.17307692307692307,0.019230769230769232,0.0,0.07692307692307693,0.1346153846153846,0.4423076923076923,0.11538461538461539,0.038461538461538464,0.0,-0.06,-0.02,-0.04,-0.06,-0.04,0.04,0.02,-0.04
11.2,0.0,0.0,0.09090909090909091,0.0,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.1590909090909091,0.18181818181818182,0.022727272727272728,0.0,0.0,0.022727272727272728,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.0,0.0,-0.05,-0.01,0.03,-0.08,0.02,0.06,-0.01,0.1
12.1,0.0,0.0,0.15,0.0,0.1375,0.0625,0.0,0.0,0.0,0.0375,0.1875,0.3,0.15,0.0,0.0,0.05,0.1875,0.225,0.0625,0.0,0.0,-0.03,-0.02,-0.17,-0.13,-0.11,0.01,-0.07,0.08
12.3,0.0,0.0,0.2714285714285714,0.0,0.22857142857142856,0.04285714285714286,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.18571428571428572,0.15714285714285714,0.0,0.0,0.02857142857142857,0.14285714285714285,0.2,0.08571428571428572,0.0,0.0,-0.13,-0.07,-0.0,-0.1,0.01,-0.02,-0.01,0.0
12.2,0.0,0.0,0.1896551724137931,0.0,0.08620689655172414,0.0,0.0,0.0,0.0,0.09482758620689655,0.12931034482758622,0.16379310344827586,0.034482758620689655,0.0,0.0,0.0,0.1896551724137931,0.19827586206896552,0.034482758620689655,0.0,0.0,-0.07,0.04,-0.06,-0.04,0.06,0.03,0.08,-0.0
13.3,0.0,0.0,0.3404255319148936,0.0,0.2127659574468085,0.0425531914893617,0.0,0.0,0.0,0.26595744680851063,0.19148936170212766,0.23404255319148937,0.10638297872340426,0.02127659574468085,0.0,0.0,0.14893617021276595,0.26595744680851063,0.1595744680851064,0.0,0.0,-0.1,0.03,-0.02,-0.03,-0.03,0.11,0.01,0.03
13.2,0.0,0.0,0.09615384615384616,0.0,0.0673076923076923,0.009615384615384616,0.0,0.0,0.0,0.21153846153846154,0.0673076923076923,0.1346153846153846,0.057692307692307696,0.019230769230769232,0.0,0.019230769230769232,0.17307692307692307,0.25961538461538464,0.0673076923076923,0.0,0.0,0.05,-0.04,-0.19,-0.09,0.01,-0.11,-0.06,-0.06
13.1,0.0,0.0,0.225,0.0,0.15,0.025,0.008333333333333333,0.0,0.0,0.16666666666666666,0.125,0.15833333333333333,0.13333333333333333,0.008333333333333333,0.0,0.041666666666666664,0.18333333333333332,0.3333333333333333,0.13333333333333333,0.008333333333333333,0.0,-0.08,0.04,-0.04,-0.09,-0.0,-0.04,-0.07,-0.01
13.4,0.0,0.0,0.2,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.0,0.0,0.0,0.06666666666666667,0.2,0.13333333333333333,0.0,0.0,0.0,0.13,-0.08,-0.03,-0.08,0.0,-0.03,0.0
14.3,0.0,0.0,0.25225225225225223,0.0,0.11711711711711711,0.0990990990990991,0.0,0.0,0.0,0.13513513513513514,0.2882882882882883,0.22522522522522523,0.17117117117117117,0.04504504504504504,0.0,0.0,0.22522522522522523,0.36036036036036034,0.15315315315315314,0.0,0.0,0.04,-0.01,-0.05,-0.01,0.06,-0.02,0.11,0.04
14.2,0.0,0.0,0.3333333333333333,0.0,0.1282051282051282,0.05128205128205128,0.0,0.0,0.0,0.1794871794871795,0.1794871794871795,0.2564102564102564,0.07692307692307693,0.0,0.0,0.02564102564102564,0.15384615384615385,0.1794871794871795,0.07692307692307693,0.0,0.0,-0.01,0.11,-0.1,-0.1,-0.01,0.01,-0.05,-0.04
14.4,0.0,0.0,0.2,0.0,0.12,0.0,0.02,0.0,0.0,0.2,0.14,0.14,0.14,0.02,0.0,0.04,0.12,0.2,0.04,0.0,0.0,0.14,0.17,0.15,0.0,-0.03,0.01,0.15,0.01
14.1,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.013157894736842105,0.0,0.0,0.0,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.11842105263157894,0.013157894736842105,0.0,0.0,0.06578947368421052,0.18421052631578946,0.05263157894736842,0.0,0.0,0.02,-0.03,-0.11,-0.01,0.01,-0.12,-0.09,0.05
15.2,0.0,0.0,0.13953488372093023,0.0,0.11627906976744186,0.046511627906976744,0.011627906976744186,0.0,0.0,0.10465116279069768,0.12790697674418605,0.13953488372093023,0.11627906976744186,0.03488372093023256,0.0,0.03488372093023256,0.12790697674418605,0.38372093023255816,0.1744186046511628,0.011627906976744186,0.0,0.1,0.06,0.1,-0.09,-0.11,0.04,0.04,0.17
15.3,0.0,0.0,0.06349206349206349,0.0,0.047619047619047616,0.031746031746031744,0.015873015873015872,0.0,0.0,0.015873015873015872,0.031746031746031744,0.047619047619047616,0.06349206349206349,0.015873015873015872,0.0,0.015873015873015872,0.031746031746031744,0.1746031746031746,0.07936507936507936,0.0,0.0,0.17,0.15,-0.03,0.12,0.16,0.07,-0.02,0.15
15.1,0.0,0.0,0.08955223880597014,0.0,0.05970149253731343,0.014925373134328358,0.014925373134328358,0.0,0.0,0.029850746268656716,0.04477611940298507,0.07462686567164178,0.11940298507462686,0.029850746268656716,0.0,0.014925373134328358,0.08955223880597014,0.22388059701492538,0.08955223880597014,0.014925373134328358,0.0,-0.05,0.26,-0.08,-0.01,-0.02,0.01,-0.01,0.12
15.4,0.0,0.0,0.14754098360655737,0.0,0.08196721311475409,0.0,0.01639344262295082,0.0,0.0,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.13114754098360656,0.04918032786885246,0.0,0.01639344262295082,0.11475409836065574,0.2459016393442623,0.08196721311475409,0.0,0.0,-0.02,0.01,-0.12,0.08,0.05,-0.06,-0.06,0.07
16.3,0.0,0.0,0.1328125,0.0,0.0703125,0.0390625,0.0,0.0,0.0078125,0.1484375,0.1328125,0.1484375,0.078125,0.0,0.0,0.015625,0.140625,0.2734375,0.125,0.0,0.0,-0.05,0.02,-0.03,-0.04,0.01,-0.03,0.01,0.08
16.1,0.0,0.0,0.12222222222222222,0.0,0.1111111111111111,0.03333333333333333,0.0,0.0,0.0,0.08888888888888889,0.15555555555555556,0.1,0.022222222222222223,0.0,0.0,0.044444444444444446,0.14444444444444443,0.1111111111111111,0.044444444444444446,0.0,0.0,-0.08,-0.08,-0.05,0.07,-0.08,-0.13,-0.11,0.05
16.2,0.0,0.0,0.17721518987341772,0.0,0.1518987341772152,0.05063291139240506,0.0,0.0,0.0,0.16455696202531644,0.12658227848101267,0.17721518987341772,0.06329113924050633,0.012658227848101266,0.0,0.02531645569620253,0.12658227848101267,0.25316455696202533,0.02531645569620253,0.0,0.0,-0.16,-0.04,-0.08,-0.0,-0.01,0.0,-0.03,-0.07
16.4,0.0,0.0,0.18292682926829268,0.0,0.0975609756097561,0.07317073170731707,0.0,0.0,0.0,0.1951219512195122,0.0975609756097561,0.13414634146341464,0.07317073170731707,0.024390243902439025,0.0,0.036585365853658534,0.13414634146341464,0.2073170731707317,0.0975609756097561,0.0,0.0,0.07,-0.04,-0.01,-0.08,0.04,0.02,-0.17,0.07
17.3,0.0,0.0,0.23469387755102042,0.0,0.19387755102040816,0.10204081632653061,0.030612244897959183,0.0,0.0,0.2857142857142857,0.25510204081632654,0.29591836734693877,0.10204081632653061,0.01020408163265306,0.0,0.030612244897959183,0.17346938775510204,0.3673469387755102,0.21428571428571427,0.0,0.01020408163265306,0.0,0.1,-0.05,0.08,-0.01,-0.09,-0.08,0.06
17.1,0.0,0.0,0.1686746987951807,0.0,0.14457831325301204,0.08433734939759036,0.0,0.0,0.0,0.1686746987951807,0.24096385542168675,0.14457831325301204,0.13253012048192772,0.024096385542168676,0.0,0.04819277108433735,0.14457831325301204,0.26506024096385544,0.060240963855421686,0.0,0.0,-0.03,-0.0,0.08,0.04,-0.05,0.1,0.07,-0.01
