speaker_id,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,age_of_acquisition,concreteness,familiarity,imageability,article,auxiliary_verb,conjunction,adverb,personal_pronoun,impersonal_pronoun,preposition,quantifier
4.Blue,0,0,0.11,0,0.04,0,0,0,0,0.11,0.11,0,0.1,0,0,0.04,0,0.23,0.06,0,0,77.19,223.59,436.33,239.53,-0.03,0.03,-0.26,-0.13,-0.08,0.14,0.1,0
4.Orange,0,0,0.28,0,0.12,0,0,0,0,0,0.3,0,0.02,0,0,0.05,0,0.15,0.02,0,0,54.91,225.42,432.6,225.42,-0.13,-0.08,-0.07,-0.07,0.11,0.05,-0.12,0
4.Yellow,0,0,0.09,0,0,0,0,0,0,0,0.07,0,0.02,0,0,0.02,0,0.19,0.05,0,0,59,187.83,354.75,202.33,-0.02,-0.01,-0.11,0.03,-0.03,0,-0.2,0
5.Orange,0,0,0.07,0,0.04,0.04,0,0,0,0.11,0.13,0,0.12,0,0,0.08,0.01,0.26,0.04,0,0,60.35,215.27,451.23,230.56,-0.12,0.03,0.15,0.05,-0.09,0.06,0.07,0.43
5.Blue,0,0,0.21,0,0.09,0,0,0,0,0.05,0.12,0,0.07,0,0,0.03,0,0.28,0.05,0.01,0,51.99,215.39,444.16,227.48,-0.01,-0.07,-0.08,-0.08,-0.03,0.05,-0.01,0.04
5.Pink,0,0,0.1,0,0.03,0.02,0,0,0,0,0.28,0.02,0.16,0,0,0,0,0.33,0.16,0,0,40.81,175.35,354.64,184.64,0,0.01,0.06,-0.1,-0.02,-0.03,-0.03,0
5.Yellow,0,0,0.29,0,0.19,0.04,0,0,0.01,0.1,0.35,0.01,0.23,0.01,0,0.03,0,0.28,0.11,0.02,0,66.9,252.91,497.72,267.62,0.1,-0.1,-0.1,-0.13,0,0.11,-0.08,-0.14
6.Blue,0,0,0.09,0,0.07,0.04,0,0,0,0.03,0.18,0,0.13,0,0,0,0,0.26,0.09,0,0,51.02,184.97,376.29,194.36,-0.12,0.1,-0.05,0.1,0.1,-0.02,-0.08,0
6.Pink,0,0,0.11,0,0.06,0.04,0,0,0,0.09,0.15,0,0.08,0,0,0.01,0,0.16,0.09,0,0,57.33,166.98,330.25,180.43,-0.04,-0.03,-0.13,-0.06,-0.1,0.02,-0.15,0.15
6.Green,0,0,0.1,0,0.07,0.01,0,0,0.01,0.14,0.17,0,0.09,0,0,0.01,0.01,0.22,0.08,0,0,49.55,231.07,477.25,252.78,-0.12,0.01,0.03,-0.13,0.09,0.06,0,-0.07
6.Orange,0,0,0.05,0,0.05,0,0,0,0,0,0.19,0,0.05,0,0,0.03,0,0,0.11,0,0,27.95,188.63,358.36,198.43,0.04,0.15,0.13,0.05,0.22,0.17,0.29,-0.05
7.Orange,0,0,0.23,0,0.09,0.05,0,0,0,0.01,0.33,0,0.06,0,0,0.01,0,0.24,0.05,0,0,65.04,238.5,455.45,255.2,0.04,-0.02,0.08,0.14,0.13,0.08,0.06,-0.11
7.Green,0,0,0.16,0,0.13,0.02,0,0,0,0.03,0.32,0.01,0.13,0,0,0.01,0,0.23,0.08,0.01,0,52.67,237.26,452.42,254.56,0.01,0,0.03,-0.08,0.04,-0.05,-0.01,0.1
7.Blue,0,0,0.2,0,0.08,0.02,0,0,0,0.02,0.4,0,0.12,0,0,0,0,0.27,0.12,0.01,0,60.31,245.91,449.46,255.55,-0.02,0.16,-0.06,-0.02,0.08,0,0.04,0.19
8.Blue,0,0,0.09,0,0.05,0.01,0,0,0.01,0.03,0.26,0,0.12,0,0,0.03,0,0.19,0.09,0,0,66.56,217.71,386.88,231.02,0.12,-0.15,-0.15,-0.04,-0.08,0.07,-0.05,-0.08
8.Green,0,0,0.08,0,0.05,0.02,0,0,0,0.14,0.31,0,0.1,0,0,0,0.02,0.2,0.08,0,0,70.81,255.22,501.84,273.39,0.1,0.18,0.06,0.14,0.15,0.04,0.1,-0.06
8.Orange,0,0,0.12,0,0.08,0.04,0,0,0,0.1,0.21,0,0.11,0,0,0.02,0.02,0.14,0.05,0,0,54.41,218.71,429.25,233.49,0.11,0.03,-0.12,0.08,0.02,0.02,0.03,-0.06
9.Green,0,0,0.04,0,0.04,0.04,0,0,0.01,0.04,0.26,0,0.17,0,0,0,0,0.1,0.09,0.01,0,83.19,271.65,499.79,293.88,0.02,-0.02,0.01,0.01,-0.04,0.13,0.21,-0.05
9.Blue,0,0,0.04,0,0,0,0,0,0,0,0.28,0,0.02,0,0,0,0,0.06,0.06,0,0,49.83,220.9,360.97,233.07,-0.11,0.04,-0.05,0.13,0.02,-0.07,-0.16,-0.05
9.Pink,0,0,0.06,0,0.03,0.01,0,0,0,0.06,0.29,0,0.08,0,0,0,0.01,0.14,0.04,0,0,45.2,226.04,410.71,234.3,-0.02,-0.01,0.09,0.03,0.02,0.04,-0.08,-0.02
